,submissions/NN_pybrain_deep.py.csv,submissions/forest270_submission.csv,submissions/xgboost_submission.csv,submissions/02559--NN_perceptron.csv,submissions/01006--2015-05-13-17-46-11.csv,submissions/01501-2015-05-14-08-47-00.csv,submissions/01006--NN_3_layer_80_epoch--2015-05-13-14-52-22.csv,submissions/00597--benchmark.csv,submissions/00460--thunder_submission.csv,submissions/2015-05-14-23-42-31.csv,submissions/00570--random_forest_300_submission.csv,submissions/00503--2015-05-14-16-54-44--xgboost--thunder--rf300.csv,submissions/00963--NN_pybrain_deep.py.clip.norm.csv,submissions/gl_submission.csv,submissions/2015-05-14-20-11-47.csv,submissions/submission.csv,submissions/2015-05-15-04-01-31.csv
submissions/NN_pybrain_deep.py.csv,1.0,0.3956583005686336,0.3230987841394314,1.3833661751007607,0.22766222398984476,0.1489000761687484,0.12685621441262465,0.3914804659192667,0.49229701567299333,0.26629098843953947,0.37723250907891054,0.27292271803398654,0.19466874116974722,0.4494791963647034,0.2088370822535121,0.3956045786505909,0.28918919764063217
submissions/forest270_submission.csv,0.3956583005686336,1.0,0.3230987841394314,1.3833661751007607,0.22766222398984476,0.1489000761687484,0.12685621441262465,0.3914804659192667,0.49229701567299333,0.26629098843953947,0.37723250907891054,0.27292271803398654,0.19466874116974722,0.4494791963647034,0.2088370822535121,0.3956045786505909,0.28918919764063217
submissions/xgboost_submission.csv,0.3230987841394314,0.3230987841394314,1.0,1.3833661751007607,0.22766222398984476,0.1489000761687484,0.12685621441262465,0.3914804659192667,0.49229701567299333,0.26629098843953947,0.37723250907891054,0.27292271803398654,0.19466874116974722,0.4494791963647034,0.2088370822535121,0.3956045786505909,0.28918919764063217
submissions/02559--NN_perceptron.csv,1.3833661751007607,1.3833661751007607,1.3833661751007607,1.0,0.22766222398984476,0.1489000761687484,0.12685621441262465,0.3914804659192667,0.49229701567299333,0.26629098843953947,0.37723250907891054,0.27292271803398654,0.19466874116974722,0.4494791963647034,0.2088370822535121,0.3956045786505909,0.28918919764063217
submissions/01006--2015-05-13-17-46-11.csv,0.22766222398984476,0.22766222398984476,0.22766222398984476,0.22766222398984476,1.0,0.1489000761687484,0.12685621441262465,0.3914804659192667,0.49229701567299333,0.26629098843953947,0.37723250907891054,0.27292271803398654,0.19466874116974722,0.4494791963647034,0.2088370822535121,0.3956045786505909,0.28918919764063217
submissions/01501-2015-05-14-08-47-00.csv,0.1489000761687484,0.1489000761687484,0.1489000761687484,0.1489000761687484,0.1489000761687484,1.0,0.12685621441262465,0.3914804659192667,0.49229701567299333,0.26629098843953947,0.37723250907891054,0.27292271803398654,0.19466874116974722,0.4494791963647034,0.2088370822535121,0.3956045786505909,0.28918919764063217
submissions/01006--NN_3_layer_80_epoch--2015-05-13-14-52-22.csv,0.12685621441262465,0.12685621441262465,0.12685621441262465,0.12685621441262465,0.12685621441262465,0.12685621441262465,1.0,0.3914804659192667,0.49229701567299333,0.26629098843953947,0.37723250907891054,0.27292271803398654,0.19466874116974722,0.4494791963647034,0.2088370822535121,0.3956045786505909,0.28918919764063217
submissions/00597--benchmark.csv,0.3914804659192667,0.3914804659192667,0.3914804659192667,0.3914804659192667,0.3914804659192667,0.3914804659192667,0.3914804659192667,1.0,0.49229701567299333,0.26629098843953947,0.37723250907891054,0.27292271803398654,0.19466874116974722,0.4494791963647034,0.2088370822535121,0.3956045786505909,0.28918919764063217
submissions/00460--thunder_submission.csv,0.49229701567299333,0.49229701567299333,0.49229701567299333,0.49229701567299333,0.49229701567299333,0.49229701567299333,0.49229701567299333,0.49229701567299333,1.0,0.26629098843953947,0.37723250907891054,0.27292271803398654,0.19466874116974722,0.4494791963647034,0.2088370822535121,0.3956045786505909,0.28918919764063217
submissions/2015-05-14-23-42-31.csv,0.26629098843953947,0.26629098843953947,0.26629098843953947,0.26629098843953947,0.26629098843953947,0.26629098843953947,0.26629098843953947,0.26629098843953947,0.26629098843953947,1.0,0.37723250907891054,0.27292271803398654,0.19466874116974722,0.4494791963647034,0.2088370822535121,0.3956045786505909,0.28918919764063217
submissions/00570--random_forest_300_submission.csv,0.37723250907891054,0.37723250907891054,0.37723250907891054,0.37723250907891054,0.37723250907891054,0.37723250907891054,0.37723250907891054,0.37723250907891054,0.37723250907891054,0.37723250907891054,1.0,0.27292271803398654,0.19466874116974722,0.4494791963647034,0.2088370822535121,0.3956045786505909,0.28918919764063217
submissions/00503--2015-05-14-16-54-44--xgboost--thunder--rf300.csv,0.27292271803398654,0.27292271803398654,0.27292271803398654,0.27292271803398654,0.27292271803398654,0.27292271803398654,0.27292271803398654,0.27292271803398654,0.27292271803398654,0.27292271803398654,0.27292271803398654,1.0,0.19466874116974722,0.4494791963647034,0.2088370822535121,0.3956045786505909,0.28918919764063217
submissions/00963--NN_pybrain_deep.py.clip.norm.csv,0.19466874116974722,0.19466874116974722,0.19466874116974722,0.19466874116974722,0.19466874116974722,0.19466874116974722,0.19466874116974722,0.19466874116974722,0.19466874116974722,0.19466874116974722,0.19466874116974722,0.19466874116974722,1.0,0.4494791963647034,0.2088370822535121,0.3956045786505909,0.28918919764063217
submissions/gl_submission.csv,0.4494791963647034,0.4494791963647034,0.4494791963647034,0.4494791963647034,0.4494791963647034,0.4494791963647034,0.4494791963647034,0.4494791963647034,0.4494791963647034,0.4494791963647034,0.4494791963647034,0.4494791963647034,0.4494791963647034,1.0,0.2088370822535121,0.3956045786505909,0.28918919764063217
submissions/2015-05-14-20-11-47.csv,0.2088370822535121,0.2088370822535121,0.2088370822535121,0.2088370822535121,0.2088370822535121,0.2088370822535121,0.2088370822535121,0.2088370822535121,0.2088370822535121,0.2088370822535121,0.2088370822535121,0.2088370822535121,0.2088370822535121,0.2088370822535121,1.0,0.3956045786505909,0.28918919764063217
submissions/submission.csv,0.3956045786505909,0.3956045786505909,0.3956045786505909,0.3956045786505909,0.3956045786505909,0.3956045786505909,0.3956045786505909,0.3956045786505909,0.3956045786505909,0.3956045786505909,0.3956045786505909,0.3956045786505909,0.3956045786505909,0.3956045786505909,0.3956045786505909,1.0,0.28918919764063217
submissions/2015-05-15-04-01-31.csv,0.28918919764063217,0.28918919764063217,0.28918919764063217,0.28918919764063217,0.28918919764063217,0.28918919764063217,0.28918919764063217,0.28918919764063217,0.28918919764063217,0.28918919764063217,0.28918919764063217,0.28918919764063217,0.28918919764063217,0.28918919764063217,0.28918919764063217,0.28918919764063217,1.0
